Unnamed: 0,reviews,clean_sentence_training,textblob_polarity,sentiment_textblob
0,"Not Verified | Top Ten REASONS to not use British Airways To all: Be Aware and be on Notice- Travel at your own risk I have travelled for years on many different airlines, and I have to say that British Airways ranks as one of the top two most horrible airlines to fly. Don’t waste your time or money. Customer service is non-existent. Please be on notice that if you purchase a ticket from them and once, they have your money, you can kiss any customer service and or help resolving your issue goodbye. We used them to travel to Europe and it was the worst experience I have had with an airline in years. When you work hard and save your money to travel, you expect a good experience. Welp not with this company. Who I am sure, makes millions on customers per year. I understand that sometimes things happen, but this started right after we booked our flight AND THE BAD EXPERIENCE DID NOT END UNTIL WE SET FOOT BACK TO OUR HOMETOWN. Please take note: #1 - The customer service number is buried on the internet and not listed on their website. I had to google it and still got the run around when someone finally answered. Trust me, the number is a secret. #2 – When you FINALLY find a customer service number, there is a long wait and when or if someone answers, they will not resolve your issues. Instead, they pass the buck to whatever airlines that they sold your ticket to. NO ONE TAKES OWNERSHIP #4- What airlines operates 365 days a year and around the clock but doesn’t have customer service reps to help you, the customer? BRITISH AIRWAYS that’s who. #5 - They will cancel your flight without notice and not notify you, AT ALL. NO EMAIL, NO TEXT. #6- If you are not the primary on your ticket you will get no notifications or even if you are the primary, you may or may not get notifications. #7 - If you pay for seats and you pick them, it doesn’t matter, they will cancel your seats and not refund your money and then play stupid. #8 - The flight may be cheaper, but it is not once you are done paying for seats. #9- They will route to another partner airline and not notify you #10 – If you have a connecting flight, they will cancel one leg and not the other and NOT NOTIFY YOU. I will never use them again. And if this review helps one person that heeds my advice, then my job is done.",number ticket HOMETOWN paying customer review EMAIL risk cancel different understand day save heed Airways purchase wait sure buck many They sometimes year EXPERIENCE issue booked Travel whatever When thing answer NOTIFY partner website Notice travel stupid finally advice Trust still done waste take BACK million existent operates TEXT travelled happen FOOT expect resolve service route resolving Instead clock around What help money BRITISH secret work find right flight airline FINALLY someone person OWNERSHIP notice British experience AIRWAYS goodbye UNTIL good without internet started even note TAKES notify Welp buried refund Europe seat make play notification rep time hard used worst answered matter Please never REASONS kiss horrible company another listed cheaper rank Verified Customer connecting pas Aware primary long sold google pick,-0.1,Partially Negative
1,Not Verified |  Easy check in on the way to Heathrow. The flight was on time with no issues. Our return flight to Valencia was booked for the afternoon and our long haul flight arrived early at Heathrow. This was with another airline and was not a connecting flight. I asked at the British Airways check in if we could be put onto the morning flight back to Valencia to avoid seven hours waiting at Heathrow. We had our flights changed with no cost and were checked in within five minutes. That is indeed customer service. Thank you.,flight airline avoid back customer arrived Thank checked British minute Airways waiting time afternoon check changed early asked within This haul Valencia could another morning Easy issue seven Verified booked indeed connecting cost onto hour service five Heathrow long return That,0.1,Partially Positive
2,"✅ Trip Verified |  Online check in worked fine. Quick security check. Once onboard quick flight up to Glasgow, water and snack provided. All in all very pleased. Cheap, quick and efficient.",security flight Quick pleased fine quick check worked efficient Glasgow Trip onboard Verified snack Cheap Online water provided Once,0.4,Partially Positive
3,"✅ Trip Verified |. The BA first lounge at Terminal 5 was a  zoo at 2pm, dirty tables and used tableware everywhere. Worse than this, the usual atrocious boarding gate service, and boarding started 50 mins late. The flight was operated by a Finnair A320, which is barely low cost standard let alone business class. Hard, thin, uncomfortable seats, poor legroom and the cabin was simply tatty - I remain shocked that BA allow this, and it's time for BA's CEO and management focused on standards rather than bean counting. Finnair cabin staff were fundamentally courteous, but they provide a very trimmed down, budget airline type service, as the whole trip turned out to be - and yet this business class ticket was one of the more expensive on recent trips. I thought post Covid that BA were better for a few months, but with the many cost cuts they are making, they fall well below all other European full service Airlines. ",well allow fundamentally standard operated everywhere seat legroom tatty ticket expensive flight recent airline min post fall budget lounge usual Covid full staff Hard Worse Terminal time rather whole management trimmed used gate business atrocious type thought table boarding class cabin remain alone first simply focused provide many tableware poor courteous European started turned Airlines trip Trip dirty bean thin Verified late barely counting month A320 cost making service uncomfortable better shocked Finnair cut,-0.12,Partially Negative
4,"Not Verified | Paid a quick visit to Nice yesterday from Heathrow. Decided to go Business class since my last short haul flight in Economy was a real crush and rather unpleasant. I paid over £300 for a business class round trip. I went into the to BA lounge in Terminal 5 which was very crowded. Being 6.30 in the morning I decided against having a drink and stuck to the breakfast offering. The cooked options did not look that appealing but the fresh fruit selection was very enjoyable. We subsequently discovered a much nicer BA lounge closer to the gate, B36, and waited there for 40 mins. Boarding was efficient and we got ourselves seated in 2A and 2C, seat 2B was blocked out, which acted as an additional table. There did not seem to be any difference in the width of the seat from the cramped seating in Economy but there may have been an additional inch of leg room. I think that BA are trying to outdo EasyJet in terms on no frills. It would not cost BA that much to supply Business class passengers with a complimentary newspaper to read during the flight. The inflight magazine is no longer available. There are no screens so there was zero in terms of in flight entertainment. The inflight WiFi was flaky at best and non-existent at other times. I was glad it was only a two hour flight. I really do not think the fare that we paid was worth the money",outdo yesterday best Nice inch discovered inflight breakfast room went would option passenger additional short worth fruit haul subsequently acted term glad Paid think seating width EasyJet really longer supply There entertainment difference cooked min last crowded magazine zero enjoyable offering Economy existent visit Being stuck selection Heathrow look money read closer flight cramped drink flaky decided fresh lounge much quick rather Terminal business table newspaper available screen trying trip morning Business hour frill complimentary crush appealing round seat nicer blocked unpleasant time WiFi gate class real efficient Decided fare waited seated since seem Verified cost Boarding paid,0.25,Partially Positive
5,"✅ Trip Verified |  Words fail to describe this last awful flight - baby across the aisle crying for most of the flight and although horrible to go without any rest for the long flight LHR/SFO, it's understandable for a baby to cry nonstop - but the crew yakking loudly in the galley even after a polite notification that their conversation could be heard in the cabin - that made the flight unbearable for any rest or sleep (always difficult anyway westbound). The food was so bad that most  turned down whatever the nasty offering was on the 2nd service. What happened to the really nice tea and scones? I've said this before after suffering through the BA concept of customer service (i.e. don't do anything to help the passenger if it involves any extra work) - this time i swear i mean it - never again on BA please! The lounge was so packed even a single traveler had a hard time finding a seat - poor BA is on the skids downhill.",work cry aisle swear seat sleep single flight baby customer last awful understandable rest yakking scone notification across difficult lounge nasty without time hard polite nonstop passenger crew anything food loudly involves offering cabin fail made although packed suffering never What downhill could horrible poor turned even nice heard please Trip galley westbound traveler Verified Words concept unbearable whatever skid service always really long conversation anyway said mean finding describe help extra happened,-0.32,Partially Negative
6,"✅ Trip Verified |  Absolutely terrible experience. The app would not let me check in online and repeatedly asked for COVID documents, but then did not accept them even when provided. I was trying to fly back to the USA, where I am a citizen and the app caused repeated errors. I went to British Airways Customer Service to check in and was told that my seat was already given away to another passenger, even though I was there in plenty of time. This was also during an industrial action at Heathrow, meaning the number of flights were limited. I was delayed over 24 hours in returning to the USA, all because of their terrible app and then bad customer service that gives away seats even when the paid passenger is already there at the airport.",number though seat flight customer back Absolutely accept give experience British returning went would Airways terrible time limited passenger check Service citizen asked away meaning repeatedly This industrial action plenty error another even document trying airport Trip repeated also already Verified COVID Customer told hour provided service Heathrow delayed caused online paid given,-0.13,Partially Negative
7,✅ Trip Verified | BA overbook every flight to maximise their income with no regard for the customer. It means you cannot check in online or at the kiosk in the airport and have to queue even with no luggage. Makes easyJet and Ryanair look like customer champions. The server in Itsu in the BA terminal says she stopped flying BA years ago due to the service being bad all the time. Most customers she serves have a complaint Staff don't care as poor service and unhappy customers is a routine occurrence.,Most easyJet every flight terminal income complaint customer Itsu Makes Ryanair time like check server stopped cannot champion care say year poor luggage kiosk airport even serf flying routine Trip maximise unhappy Verified regard occurrence service look mean queue overbook online Staff,-0.22,Partially Negative
8,"✅ Trip Verified |  
The flights were all on time, except Belfast from London which never is. The Staff were efficient. My issue is the App, I could not book seats to Tel Aviv though tried for a month as wanted to pay. So ended up in a middle seat even though a window seat was available on the flight. The seat was in front of the dividing barrier and was used as thoroughfare by the service team throughout the flight so I wasted my money on PE seat! You can get hold of BA customer service via the app either and they have just ignored all other communication so just won't use them again.",wanted though seat wasted flight customer front throughout Aviv tried time money used communication available efficient never could even Trip dividing issue except month Verified thoroughfare book team Belfast London window service barrier middle hold either ended ignored Staff,0.07,Partially Positive
9,"Not Verified | Only the second time flying BA as first time wasn’t positive. Could have made my connection in Heathrow if BA had been proactive. Instead, overnight at the Renaissance hotel compliments of BA. Adequate, but one wonders why a large part of this hotel is devoted to sleeping and feeding of hundreds of stranded passengers. If BA had offered one employee to help us get to our gate instead of waiting for the shuttle bus which was a half hour late arriving, we could have made our flight and saved BA the cost of rebooking, hotel, shuttle, food accommodations. Another bad show. Business class fare should offer more.",second Renaissance sleeping half hotel flight large rebooking arriving show offer waiting time part passenger gate food devoted class instead made first Only feeding could saved accommodation Another fare flying wonder Verified late connection positive cost hour Business offered Heathrow proactive Instead hundred employee shuttle stranded Adequate compliment help Could overnight,0.07,Partially Positive
